Suburb,Type,Price,Rooms,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Distance,Lattitude,Longtitude,Regionname,Method,Date
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-01-01
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-01-02
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-01-03
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-01-04
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-01-05
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-01-06
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-01-07
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-01-08
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-01-09
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-01-10
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-01-11
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-01-12
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-01-13
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-01-14
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-01-15
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-01-16
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-01-17
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-01-18
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-01-19
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-01-20
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-01-21
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-01-22
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-01-23
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-01-24
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-01-25
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-01-26
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-01-27
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-01-28
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-01-29
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-01-30
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-01-31
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-02-01
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-02-02
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-02-03
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-02-04
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-02-05
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-02-06
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-02-07
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-02-08
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-02-09
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-02-10
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-02-11
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-02-12
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-02-13
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-02-14
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-02-15
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-02-16
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-02-17
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-02-18
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-02-19
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-02-20
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-02-21
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-02-22
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-02-23
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-02-24
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-02-25
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-02-26
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-02-27
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-02-28
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-03-01
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-03-02
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-03-03
